Sub,Crse,Sec,Day,Time,Room,Instructor
BIO,280,02, ,TBA,TBA,"Idjadi, J (P)"
BIO,301,01X,T,04:00 pm-06:45 pm,SCIENC 116,"Cowles, E (P)"
BIO,302,01X,T,09:30 am-11:20 am,SCIENC 341,"Murdoch, B (P)"
BIO,302,02X,T,12:30 pm-02:20 pm,SCIENC 341,"Murdoch, B (P)"
BIO,304,01,MWF,09:00 am-09:50 am,SCIENC 137,"Veerappan, V (P)"
BIO,304,02,MWF,10:00 am-10:50 am,SCIENC 137,"Veerappan, V (P)"
BIO,305,01,MWF,01:00 pm-01:50 pm,SCIENC 104,"Graham, M (P)"
BIO,305,02,T,04:00 pm-06:45 pm,SCIENC 104,"Kwaku, K (P)"
BIO,314,01,R,09:30 am-11:20 am,SCIENC 331,"Gyure, M (P)"
BIO,314,02,R,12:30 pm-02:20 pm,SCIENC 331,"Gyure, M (P)"
BIO,314,03,R,04:00 pm-05:50 pm,SCIENC 331,"Gyure, M (P)"
BIO,319,01,T,09:00 am-10:50 am,SCIENC 331,"Mattingly, B (P), Epp, K , Idjadi, J"
BIO,320,01, ,TBA,TBA,"Mattingly, B (P), Epp, K , Idjadi, J"
BIO,334,01,MWF,09:00 am-09:50 am,SCIENC 231,"Hulvey, J (P)"
BIO,334,01,W,02:00 pm-04:50 pm,SCIENC 341,"Hulvey, J (P)"
BIO,336,01,MWF,12:00 pm-12:50 pm,SCIENC 432,"Graham, M (P)"
BIO,336,01,R,11:00 am-01:50 pm,SCIENC 333,"Graham, M (P)"
BIO,350,01,MWF,10:00 am-10:50 am,SCIENC 432,"Lucin, K (P)"
BIO,350,01A,M,02:00 pm-04:50 pm,SCIENC 315,"Lucin, K (P)"
BIO,380,01, ,TBA,TBA,"Lucin, K (P)"
BIO,380,02, ,TBA,TBA,"Groth, A (P)"
BIO,380,03, ,TBA,TBA,"Connolly, B (P)"
BIO,380,04, ,TBA,TBA,"Graham, M (P)"
BIO,380,05, ,TBA,TBA,"Connolly, B (P)"
BIO,380,06, ,TBA,TBA,"Epp, K (P)"
BIO,380,07, ,TBA,TBA,"Graham, M (P)"
BIO,380,08, ,TBA,TBA,"Hulvey, J (P)"
BIO,380,09, ,TBA,TBA,"Murdoch, B (P)"
BIO,380,10, ,TBA,TBA,"Connolly, B (P)"
BIO,380,11, ,TBA,TBA,"Laux, D (P)"
BIO,380,12, ,TBA,TBA,"Idjadi, J (P)"
BIO,424,01,MWF,10:00 am-10:50 am,SCIENC 416,"Cowles, E (P)"
BIO,424,01,T,09:30 am-12:20 pm,SCIENC 335,"Cowles, E (P)"
BIO,438,01,MWF,01:00 pm-01:50 pm,SCIENC 416,"Connolly, B (P)"
